shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,GTFSAgencyID,GTFSAgencyName
ooevv-linz-linien,3,#a3238e,#ffffff,,rectangle,,,
ooevv-linz-linien,4,#c40352,#ffffff,,rectangle,,,
ooevv-oebb,S1,#ee7f00,#ffffff,,rectangle-rounded-corner,,,
ooevv-oebb,S2,#0098a1,#ffffff,,rectangle-rounded-corner,,,
ooevv-oebb,S3,#342980,#ffffff,,rectangle-rounded-corner,,,
ooevv-oebb,S4,#a4ba00,#ffffff,,rectangle-rounded-corner,,,
ooevv-stern-hafferl,S5,#e2007a,#ffffff,,rectangle-rounded-corner,,,
svv-oebb,R3,#99be41,#ffffff,,rectangle-rounded-corner,,,
svv-oebb,R9,#e4be3d,#ffffff,,rectangle-rounded-corner,,,
svv-oebb,R21,#44bccf,#ffffff,,rectangle-rounded-corner,,,
svv-oebb,REX21,#ff8124,#ffffff,,rectangle-rounded-corner,,,
svv-oebb,S2,#0077bd,#ffffff,,rectangle-rounded-corner,,,
svv-oebb,S3,#3ab048,#ffffff,,rectangle-rounded-corner,,,
svv-slb,R33,#c22438,#ffffff,,rectangle-rounded-corner,,,
svv-slb,S1,#c22438,#ffffff,,rectangle-rounded-corner,,,
svv-slb,S11,#c22438,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S1,#0097d5,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S2,#0097d5,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S3,#0097d5,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S4,#0097d5,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S7,#0097d5,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S40,#0097d5,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S45,#c8d200,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S50,#0097d5,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S60,#0097d5,#ffffff,,rectangle-rounded-corner,,,
vor-oebb,S80,#0097d5,#ffffff,,rectangle-rounded-corner,,,
vor-wiener-linien,18,#c00808,#ffffff,,rectangle,,,
vor-wiener-linien,U1,#e3000f,#ffffff,,rectangle,,,
vor-wiener-linien,U2,#a862a4,#ffffff,,rectangle,,,
vor-wiener-linien,U3,#ef7c00,#ffffff,,rectangle,,,
vor-wiener-linien,U4,#00963f,#ffffff,,rectangle,,,
vor-wiener-linien,U6,#9d6830,#ffffff,,rectangle,,,
vst-oebb,S1,#0fa14a,#ffffff,,rectangle-rounded-corner,,,
vst-oebb,S3,#ed028c,#ffffff,,rectangle-rounded-corner,,,
vst-oebb,S5,#892890,#ffffff,,rectangle-rounded-corner,,,
vst-oebb,S51,#892890,#ffffff,,rectangle-rounded-corner,,,
vst-oebb,S8,#4fc4cf,#ffffff,,rectangle-rounded-corner,,,
vst-oebb,S9,#957cb9,#ffffff,,rectangle-rounded-corner,,,
vst-stb,S11,#0fa14a,#ffffff,,rectangle-rounded-corner,,,
vst-stb,S31,#ed028c,#ffffff,,rectangle-rounded-corner,,,
vvk-oebb,S1,#16489f,#ffffff,,rectangle-rounded-corner,,,
vvk-oebb,S2,#3b8475,#ffffff,,rectangle-rounded-corner,,,
vvk-oebb,S3,#e36f27,#ffffff,,rectangle-rounded-corner,,,
vvk-oebb,S4,#ee1c25,#ffffff,,rectangle-rounded-corner,,,
vvk-oebb,S5,#f3c836,#ffffff,,rectangle-rounded-corner,,,
vvt-oebb,cjx1,#48c9f2,#ffffff,,rectangle,,,
vvt-oebb,S2,#f45f98,#ffffff,,rectangle,,,
vvt-oebb,S3,#b0b6c8,#ffffff,,rectangle,,,
vvt-oebb,S4,#4a205d,#ffffff,,rectangle,,,
vvt-oebb,S6,#b01319,#ffffff,,rectangle,,,
vvt-oebb,S8,#25aae1,#ffffff,,rectangle,,,
vvv-montafoner-bahn,S4,#ffcb06,#ffffff,,rectangle,,,
vvv-oebb,S1,#dd1936,#ffffff,,rectangle,,,
vvv-oebb,S2,#dd1936,#ffffff,,rectangle,,,
vvv-oebb,S3,#dd1936,#ffffff,,rectangle,,,
vvv-oebb,R1,#dd1936,#ffffff,,rectangle,,,
vvv-oebb,R2,#dd1936,#ffffff,,rectangle,,,
vvv-oebb,R5,#dd1936,#ffffff,,rectangle,,,
